name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1,desc_2,desc_3
“Sweety” Espresso Blend,A.R.C.,Medium-Light,Hong Kong,Panama,Ethiopia,14.32,95,November 2017,evaluated as espresso sweettoned deeply rich chocolaty vanilla paste dark chocolate narcissus pink grapefruit zest black cherry in aroma and cup plush syrupy mouthfeel resonant flavorsaturated finish in three parts milk rich chocolate tones intensify along with intimations of vanilla paste and black cherry in the short finish and floraltoned citrus zest in the long ,an espresso blend comprised of coffees from panama and ethiopia arc whose motto is more than specialty rigorously controls three vital elements sourcing of green coffee roasting and in cafe environments water quality for brewed coffee for more information visit httpwwwarccoffeeenindexhtml,a radiant espresso blend that shines equally in the straight shot and in milk alive with notes of rich dark chocolate and black cherry
Flora Blend Espresso,A.R.C.,Medium-Light,Hong Kong,Africa,Asia Pacific,9.05,94,November 2017,evaluated as espresso sweetly tart floraltoned honeysuckle oak dried apricot dark chocolate thyme in aroma and small cup delicately syrupy body gently drying floraldriven finish in the short and sweetly herbtoned in the long in three parts milk chocolate florals and fruit all take center stage and thymelike herb notes gently follow,an espresso blend comprised of coffees from africa and the asiapacific arc whose motto is more than specialty rigorously controls three vital elements sourcing of green coffee roasting and in cafe environments water quality for brewed coffee for more information visit httpwwwarccoffeeenindexhtml,a floraldriven straight shot amplified with notes of stone fruit and chocolate in cappuccinoscaled milk
Ethiopia Shakiso Mormora,Revel Coffee,Medium-Light,United States,Guji Zone,Southern Ethiopia,4.7,92,November 2017,crisply sweet cocoatoned lemon blossom roasted cacao nib date rice candy white peppercorn in aroma and cup savorytart structure delicate silky mouthfeel the richly drying finish leads with cocoatoned crisply sweet floral notes in the short and a hint of spice white peppercorn in the long,this coffee tied for the thirdhighest rating in a tasting of  organiccertified coffees from africa for coffee reviews november  tasting report southern ethiopia coffees like this one are produced from traditional ethiopian varieties of arabica long grown in the region when processed by the wet or washed method fruit skin and pulp are removed before drying they typically express great aromatic complexity and intensity with a particular emphasis on floral notes like virtually all southern ethiopia coffees this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops revel coffee is a microroaster located in billings montana its motto quality is paramount  a difference you can revel in visit wwwrevelcoffeecom or call  for more information,a gently spicetoned floral driven wetprocessed ethiopia cup with pleasing notes of cocoa throughout
Ethiopia Suke Quto,Roast House,Medium-Light,United States,Guji Zone,Oromia Region,4.19,92,November 2017,delicate sweetly spicetoned pink peppercorn date myrrh lavender roasted cacao nib in aroma and cup crisp spicetoned structure with citruslike acidity satiny very smooth mouthfeel the crisply sweet finish centers around spice and pungent floral notes,this coffee tied for the thirdhighest rating in a tasting of  organiccertified coffees from africa for coffee reviews november  tasting report southern ethiopia coffees like this one are produced from traditional ethiopian varieties of arabica long grown in the region when processed by the wet or washed method fruit skin and pulp are removed before drying they typically express great aromatic complexity and intensity with a particular emphasis on floral notes like virtually all southern ethiopia coffees this one is produced by villagers on small garden plots interplanted with food and other subsistence crops roast house is a smallbatch qualityfocused roaster specializing in farmdirect organiccertified and fair trade certified coffees visit roasthousecoffeecom or call  for more information,lavenderlike flowers and hints of zesty pink peppercorn animate this crisply sweet wetprocessed ethiopia cup
Ethiopia Gedeb Halo Beriti,Big Creek Coffee Roasters,Medium,United States,Gedeb District,Gedeo Zone,4.85,94,November 2017,deeply sweet subtly pungent honey pear tangerine zest dark chocolate pistachio in aroma and cup sweet and juicy yet crisp in structure think ripe pear plush and buoyant in mouthfeel resonant and flavor saturated in the short finish simplifies around hints of tangerine and pistachio in the long,southern ethiopia coffees like this one are produced from distinctive traditional ethiopian varieties of arabica long grown in the region like virtually all southern ethiopia coffees this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops processed by the wet or washed method fruit skin and pulp are removed before drying this coffee tied for the highest rating in a tasting of  organiccertified coffees from africa for coffee reviews november  tasting report big creek coffee roasters is a small qualityoriented batch roaster located in montanas bitterroot valley visit wwwbigcreekcoffeeroasterscom or call  for more information,a deeply and generously lush cup saved from sentimentality by a crisp incenselike slightly savory edge very wide range of aromatics
Ethiopia Kayon Mountain,Red Rooster Coffee Roaster,Light,United States,Odo Shakiso District,Guji Zone,5.14,93,November 2017,delicate richly and sweetly tart dried hibiscus fine musk almond sandalwood raspberry in aroma and cup fruittoned deeply sweet structure with gentlyexpressed acidity buoyant satinysmooth mouthfeel the crisp flavorsaturated finish is characterized by sweettart fruit and floral tones raspberry hibiscus,this coffee tied for the secondhighest rating in a tasting of  organiccertified coffees from africa for coffee reviews november  tasting report southern ethiopia coffees like this one are produced from distinctive traditional ethiopian varieties of arabica long grown in the region like virtually all southern ethiopia coffees this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops this is a dryprocessed or natural coffee meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees certified usda organic established in  red rooster is an organiccertified microroaster focusing on socially conscious coffee and highquality coffee visit redroostercoffeecom or call  for more information,a lively and crisply sweet fruitforward naturalprocessed ethiopia cup
Ethiopia Gelgelu Natural Organic,Willoughby's Coffee & Tea,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,3.97,93,November 2017,hightoned floral dried apricot magnolia almond butter maple syrup cherry brandy in aroma and cup crisp sweetlytart in structure plush syrupy mouthfeel notes of magnolia and dried apricot dominate in the flavorladen short finish with hints of almond butter and fruit brandy in the long,this coffee tied for the secondhighest rating in a tasting of  organiccertified coffees from africa for coffee reviews november  tasting report southern ethiopia coffees like this one are produced from traditional ethiopian varieties of arabica long grown in the region this is a dryprocessed or natural yirgacheffe meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees certified usda organic willoughbys coffee  tea is a pioneer specialty coffee roaster established in the early s that has gracefully and successfully moved with the times and now offers a menu of extremely refined smalllot singleorigin coffees visit wwwwilloughbyscoffeecom or call  for more information,a deeply sweet naturalprocessed ethiopia cup with stone fruit and brandy notes as parallel throughlines
Ethiopia Hambela Alaka,Black Oak Coffee Roasters,Medium-Light,United States,Hambela Wamena District,Guji Zone,5.14,93,November 2017,very delicate sweetly savory lemon verbena allspice dried persimmon dogwood bakers chocolate in aroma and cup balanced sweetsavory structure velvetysmooth mouthfeel the sweetly herbtoned finish centers on notes of lemon verbena and dried persimmon wrapped in bakers chocolate,this coffee tied for the secondhighest rating in a tasting of  organiccertified coffees from africa for coffee reviews november  tasting report southern ethiopia produces distinctive coffees from traditional varieties of arabica long grown in the region this lot was processed by the wet or washed method fruit skin and pulp are removed before drying certified usda organic artisan coffeeroasters in the northern california town of ukiah black oaks mission is to bring to life each carefully selected coffees unique origins for more information visit wwwblackoakcoffeecom,a delicate richly sweet wetprocessed ethiopia spice herb fruit and flowers in intricate balance
Organic Ethiopia Kirite,Wonderstate Coffee,Medium-Light,United States,Hambela District,Guji Zone,5.29,93,November 2017,hightoned crisply sweet lemon blossom apricot frankincense spearmint roasted cacao nib in aroma and cup balanced complete sweetsavory structure satiny full mouthfeel sweet spearmint notes carry the cocoatoned finish with hints of lemon blossom and apricot,this coffee tied for the secondhighest rating in a tasting of  organiccertified coffees from africa for coffee reviews november  tasting report produced by the metad farm and mill in southern ethiopia southern ethiopia produces distinctive coffees from traditional varieties of arabica long grown in the region coffees like this one processed by the wet or washed method fruit skin and pulp is removed before drying typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes ceritifed usda organic wonderstate coffee formerly kickapoo coffee is an awardwinning roaster based in rural wisconsin known for their commitment to guaranteeing higher pay for farmers and being the countrys first  solar powered roastery visit httpswonderstatecom for more information,an inviting wetprocessed ethiopia cup invokes a walk through a citrus orchard in spring with a bonus of sweet herb and cocoa tones
Ethiopia Sidama,Reunion Island Coffee,Medium,Canada,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,3.76,94,November 2017,balanced sweetsavory red currant roasted cacao nib clove blood orange zest frankincense in aroma and cup savorysweet structure with lively acidity syrupy mouthfeel the resonant spicetoned finish leads with intimations of clove and roasted cacao nib in the short rounding to rich fruit tones with hints of frankincense in the long,this exceptional coffee was selected as the no  coffee on coffee reviews list of the top  coffees of   this coffee also tied for the highest rating in a tasting of  organiccertified coffees from africa for coffee reviews november  tasting report southern ethiopia coffees like this one are produced from distinctive traditional ethiopian varieties of arabica long grown in the region like virtually all southern ethiopia coffees this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops this lot was processed by the wet or washed method fruit skin and pulp are removed before drying organic and fair trade certified the latter meaning they were purchased from smallholding farmers at a fair or economically sustainable price reunion island coffee is a qualityoriented roasting company founded by canadian specialty coffee veteran peter pesce visit wwwreunionislandcoffeecom or call  for more information,an elegantly expressive fruitforward but savoryleaning ethiopia cup
